gpt-3.5-turbo_acronym1f_highprob	gpt-3.5-turbo_acronym1f_random	gpt-3.5-turbo_acronym2f_highprob	gpt-3.5-turbo_acronym2f_random
amassing	ttesnnat	assudua	rpisonfi
millibars	invceirin	meansbewares	ettinss
hurry	htlaq	hiury	aiils
liaison	saonirh	liaesny	photos
neutrowtronsoronso	icaitnap	ntmrgsosip	pntdmci
revoke	pweiop	relas	estiav
creativity	aoehhloecr	controls	mptsafdiua
ambush	eilmhv	amblds	pgrmog
unhapapy	oedsttt	hntuiy	snedersa
defense	sbepent	dtebds	prowgua
secure	lirale	selectedjuncrabss	ytaso
disorderely	iigrooenuu	dvnmspct	eomesocpocpuir
proprivetor	nnlgtbsebsebsa	proughtimetablestore	ifodsnuaeetra
loan	opna	lroe	naoo
teveal	ihiltr	riaei	coscdl
voltagem	ryddvic	verpigni	uctingts
posited	eaeensi	posmspa	onieaw
aided	tided	aeini	eidsly
attendance	iessincsil	attendingstrongholdsinternallyadditiveintriguingschemesperformances	eoiiarec
vanish	raissgla	vemnistga	rpldnoigs
holy	neeer	houe	csig
eithefr	ebirsl	eotrsr	young
neutral	jyotere	netosemc	gpaose
interact	yearbesartpuclnni	itedlsacpea	ntissasrs
tttempted	eecdecsat	atinesed	atcascm
alleged	uuramerao	andingclaims	hmrafot
degrees	soerdue	dpgees	atsarrfi
iconographyaphy	areianjeian	iconagpm	upraceiacean
strait	nbdaeen	strbds	insters
coasastline	intieemyto	consequences	bmfraoes
twilight	isoaeeid	toalgat	hpgtpnu
tilapidmated	sisrrsoopos	drlaiasha	toeaaensdsvt
budgeta	yliteslgu	bolitesty	sireacscsb
secdre	talntn	slietsdtb	anbsec
banished	treaieiesn	bndgilece	eptscaebp
synoonymows	eeeirouht	sconsibiata	tdaclimbaup
ministe	aptiatild	mfnesvp	eagsectg
adaptation	aieptuhcto	ajaoyulca	ndsltgsmrysac
crosing	timsepia	cronssidi	rdvpnlss
corporal	tnytidyb	codapcf	entsbesis
historians	igbvcsesep	histrialso	yliasmmsncyhh
royalty	songans	rolamy	dteadea
slightehtest	tpoahmvir	slaacsrs	dleomoeta
hastily	onsryil	heassbes	oictnt
recounoncuhnced	acdrneswr	rpcoispa	iavoidsbaspf
stub	dnen	stso	scgr
petrel	cbeyor	peowna	ntrsiol
spat	cyho	spvi	nioe
attends	peirpsps	atediaes	donilsb
assistica	nskcerlieli	agcsotier	uraeeeecoa
paaranoromaormal	ttdgjragmc	peakingconveyrecisembacinder	itwaatslhpm
cans	eaii	rars	twrn
shipwreck	mrsdtnwanoe	shouldbeei	orbenytsasesna
clones	aeucsy	clones	ontlys
ropel	ottna	rtei	riieiic
propriprietoriprimetitor	mfuerruti	problems	lestesaisgd
urge	deht	uret	thet
hospital	tfreeatnt	hoteiiaei	hilseaucy
shops	edanc	thoughts	omtei
styletylede	rcfuea	tspest	gitedo
conviction	ialjpmngcnu	coriloadhua	sdimlsots
subjectctive	oaptoterterli	sclboer	ilyessrr
governernes	rculpsael	gostniisa	ecistaascnys
campus	srents	cfmpsa	gcnjdr
triangles	tanolocth	tocwiabra	troesnbyi
vessel	sbiemo	vlcsgtbf	cetdsi
viewpoints	eltoeters	voisseves	ageldepytt
response	snrtmospta	response	cnvresoeoes
adorable	ehtoagop	addceocv	ftesoconarps
pitches	iseitlt	pmasre	yemats
swims	tdcae	ywass	erslt
wheeled	ioradrv	whatdesk	rascinhi
shading	tlnneyb	steadea	wmjtbii
idea	nget	idgb	evoi
remarkable	iriokyrnta	rgbtsgasm	tmplngtrsreteiead
abandoned	eessmim	abincuted	ntrcsoaadies
baton	lanco	betsn	dnmg
plaintf	rdsahsahsnc	pglntsraisa	rtesjtmsfai
harvest	nnasdle	hnspotas	anterss
solar	tarsr	scorp	iltes
cinematic	toplsstet	cverecss	njudedthireslbrt
projections	iaeewdkasri	proceedsacollectionsgivesi	smwftsesba
begin	rrtds	bpili	aecra
topfulated	aoaidtaoe	politically	rtcsirs
singer	siitch	smless	iavuts
reeside	cardsk	reliable	dfwcis
parking	escdaet	pamniga	istrjcr
transcriptcripsript	aoooaymapiicpr	hronescomroldoigndrogs	iuessasrocsi
tteration	hlvarprsi	iagpmambu	ehilarsg
tinsertirting	hooegrsi	insuredefessionstrataenvironmentsagriculture	prbsrnsos
tincite	crrdft	ifnoes	itcas
canned	fioudm	ctseod	nayenc
famous	neuvem	fnmeus	tigsly
mole	ptli	mets	apmi
stticky	atekss	stieny	diesle
superior	iuasgleairs	smsptrfoi	aeioislywaugpi
package	tiitrlsn	paissbar	nlesscs
tnspiratirataionsrataionstions	saaidrdrdistaha	illyagamacnayc	stucqaoe
tisappopointment	pokolaasasaesanitpe	dpituadisisisisisis	minshbaocemogshb
pictorpial	ghrsaioms	ptstppbf	nmroeedn
