index	method	correct
0	multiplication_number	0
1	multiplication_number	0
2	multiplication_number	0
3	multiplication_number	0
4	multiplication_number	0
5	multiplication_number	0
6	multiplication_number	0
7	multiplication_number	0
8	multiplication_number	0
9	multiplication_number	0
10	multiplication_number	0
11	multiplication_number	0
12	multiplication_number	1
13	multiplication_number	0
14	multiplication_number	1
15	multiplication_number	0
16	multiplication_number	0
17	multiplication_number	0
18	multiplication_number	0
19	multiplication_number	0
20	multiplication_number	0
21	multiplication_number	0
22	multiplication_number	0
23	multiplication_number	0
24	multiplication_number	0
25	multiplication_number	0
26	multiplication_number	0
27	multiplication_number	0
28	multiplication_number	0
29	multiplication_number	0
30	multiplication_number	0
31	multiplication_number	0
32	multiplication_number	0
33	multiplication_number	0
34	multiplication_number	0
35	multiplication_number	0
36	multiplication_number	0
37	multiplication_number	0
38	multiplication_number	0
39	multiplication_number	1
40	multiplication_number	0
41	multiplication_number	0
42	multiplication_number	0
43	multiplication_number	0
44	multiplication_number	0
45	multiplication_number	1
46	multiplication_number	0
47	multiplication_number	0
48	multiplication_number	0
49	multiplication_number	0
50	multiplication_number	0
51	multiplication_number	1
52	multiplication_number	1
53	multiplication_number	0
54	multiplication_number	0
55	multiplication_number	0
56	multiplication_number	0
57	multiplication_number	0
58	multiplication_number	0
59	multiplication_number	0
60	multiplication_number	0
61	multiplication_number	0
62	multiplication_number	0
63	multiplication_number	0
64	multiplication_number	0
65	multiplication_number	0
66	multiplication_number	0
67	multiplication_number	0
68	multiplication_number	0
69	multiplication_number	0
70	multiplication_number	0
71	multiplication_number	0
72	multiplication_number	0
73	multiplication_number	0
74	multiplication_number	1
75	multiplication_number	0
76	multiplication_number	0
77	multiplication_number	0
78	multiplication_number	0
79	multiplication_number	0
80	multiplication_number	0
81	multiplication_number	0
82	multiplication_number	1
83	multiplication_number	0
84	multiplication_number	0
85	multiplication_number	0
86	multiplication_number	0
87	multiplication_number	0
88	multiplication_number	0
89	multiplication_number	1
90	multiplication_number	0
91	multiplication_number	0
92	multiplication_number	0
93	multiplication_number	0
94	multiplication_number	0
95	multiplication_number	0
96	multiplication_number	0
97	multiplication_number	0
98	multiplication_number	1
99	multiplication_number	0
0	multiplication_word	0
1	multiplication_word	0
2	multiplication_word	0
3	multiplication_word	0
4	multiplication_word	1
5	multiplication_word	0
6	multiplication_word	0
7	multiplication_word	0
8	multiplication_word	0
9	multiplication_word	0
10	multiplication_word	0
11	multiplication_word	0
12	multiplication_word	0
13	multiplication_word	0
14	multiplication_word	0
15	multiplication_word	0
16	multiplication_word	0
17	multiplication_word	0
18	multiplication_word	0
19	multiplication_word	1
20	multiplication_word	0
21	multiplication_word	0
22	multiplication_word	0
23	multiplication_word	0
24	multiplication_word	0
25	multiplication_word	0
26	multiplication_word	0
27	multiplication_word	0
28	multiplication_word	0
29	multiplication_word	0
30	multiplication_word	0
31	multiplication_word	0
32	multiplication_word	0
33	multiplication_word	0
34	multiplication_word	0
35	multiplication_word	0
36	multiplication_word	0
37	multiplication_word	0
38	multiplication_word	0
39	multiplication_word	1
40	multiplication_word	1
41	multiplication_word	0
42	multiplication_word	1
43	multiplication_word	0
44	multiplication_word	0
45	multiplication_word	0
46	multiplication_word	0
47	multiplication_word	0
48	multiplication_word	0
49	multiplication_word	1
50	multiplication_word	1
51	multiplication_word	0
52	multiplication_word	0
53	multiplication_word	0
54	multiplication_word	0
55	multiplication_word	0
56	multiplication_word	0
57	multiplication_word	0
58	multiplication_word	0
59	multiplication_word	0
60	multiplication_word	0
61	multiplication_word	0
62	multiplication_word	0
63	multiplication_word	0
64	multiplication_word	0
65	multiplication_word	0
66	multiplication_word	0
67	multiplication_word	1
68	multiplication_word	0
69	multiplication_word	0
70	multiplication_word	0
71	multiplication_word	0
72	multiplication_word	0
73	multiplication_word	0
74	multiplication_word	0
75	multiplication_word	0
76	multiplication_word	0
77	multiplication_word	0
78	multiplication_word	0
79	multiplication_word	0
80	multiplication_word	0
81	multiplication_word	0
82	multiplication_word	0
83	multiplication_word	0
84	multiplication_word	0
85	multiplication_word	0
86	multiplication_word	0
87	multiplication_word	0
88	multiplication_word	0
89	multiplication_word	0
90	multiplication_word	0
91	multiplication_word	0
92	multiplication_word	0
93	multiplication_word	0
94	multiplication_word	0
95	multiplication_word	0
96	multiplication_word	0
97	multiplication_word	0
98	multiplication_word	1
99	multiplication_word	0
0	multiplication_allcaps	0
1	multiplication_allcaps	0
2	multiplication_allcaps	0
3	multiplication_allcaps	0
