gpt-3.5-turbo_acronym1d_highprob	gpt-3.5-turbo_acronym1d_random	gpt-3.5-turbo_acronym2d_highprob	gpt-3.5-turbo_acronym2d_random
amasinsign	ttesnat	aftblsuadu	rpsrgnf
tilliabarsi	tinvcerin	mpcacfahpa	eotn
hurry	htlapq	hinn	aivt
liasioon	saonirhl	lwmpac	phtoia
tewurtrons	icaiatnap	ntrgnso	pstuimc
revokem	pweirop	rlocsrf	esebia
create	achehlor	cotrbskolss	mptsafdgia
ambuish	tilmhv	aeobis	pctgj
unhapapy	oedsttt	hntnio	skmctsa
defens	sbepeent	dpexas	prlwagau
secure	lireal	snjcs	ypsn
tisorder	tiigrooeoonu	dveonwipcp	eaobpcpuir
tropprivetor	tnlgtbsetbsa	polostbtdssbbe	ifodsnuara
loan	tpnaa	ldrg	nptm
tevreal	ihilotr	rceer	coscdl
toaltage	rysddvidc	vfrstcir	uettstn
posticted	taeeensi	potmpsa	oyrsgs
aideed	tide	aiaea	euoy
attendance	tessirncsil	tsgdiais	rntgiaeoec
vanishes	raisgsgla	vsnvhgs	rpnwas
hcoly	neer	hot	mnts
eithert	tbirsl	eotksd	yonn
neutrals	tyotereu	nemobsemc	gkotn
tintertacracitaironstisons	yerasapuclognin	interlaced	uigtssgir
ttetmfpted	tecdecsatu	aisbemr	aegn
allgeldely	uuaramerao	aenrnbac	hmtafdsm
tegreres	soreduaerd	dvpsgnts	aftsrr
iconography	areianjenac	iacnapmutm	uoirptcisaaan
strati	tbdaene	sntg	insecolon
coastlie	intieemyto	chnlsrstp	baacted
twilight	isoaeed	tboyvhet	hotstars
tilapidathe	sisrrsosop	dstbunirshda	tntaasadesv
tudgerate	ylitestelg	boaties	sprdcnns
secdre	talntrn	snctb	aabae
banished	treaines	bndndfgthbki	eytsn
synonyms	teiriprouth	sctifibatu	taclibimbabup
mindnisteterc	aptiaatldt	mafenestripro	easgscvctg
adaptation	aipeptuhcto	ajsnlyuclac	ndeyssmba
trossing	timsepa	crrgssdia	rntvyror
corporal	tneytiyib	croapcf	easier
histroriantis	igbvcsseep	hpestndawuo	ydasph
royalty	songans	ratlws	dtsnce
slighthtest	tpaoahmviroadways	soienr	dctoemoat
hastily	onsryil	hrtsndvsy	oirgss
reconcunhanced	acdrnewrsw	rptnolcos	iapbasfs
stub	danen	stoo	scrt
petrel	cbeyor	ponts	ntrcosl
spat	cyho	sovs	nlys
attwendes	theirps	aisljn	nolitst
assisitacne	tsgkcelriliel	agysdomtie	urvetr
paranoromal	ntdgjraigmdc	pacdwucpes	iotfatslhps
canas	eaiti	rpai	tows
shipwrecked	mrsdtnwaeno	smnedg	oybpswaspn
clones	aeucsy	carer	octwsp
rope	ttdrna	rnsr	rnsn
tropipreit	mgfuemrruuti	pctn	lrsotensa
urgee	deht	uobd	tchs
hospiatl	tfreataint	hotmss	hpsaabauyy
shops	edanc	tsoca	omtie
styled	rcfaurea	tssate	gctwco
converticnos	ialjpmmngcn	croiledha	snlirn
subjectcetiv	taptorel	sctoervs	ispaprrvma
governers	rculpsaeel	gsharaiti	eisnit
campuss	trescentss	cfmps	gctndc
triangle	tanolloc	tacwiaabr	rteoy
vesael	tbitemo	voncer	cened
tiiwpointewpoin	eltoeters	vdsvssve	agljdept
restpoinsevi	snrtmospta	rpeacaoal	cnsvroec
adorablerob	theagoap	aedceocv	ftnqo
pitchese	istelt	pmltse	ybmaet
swim	tsdcae	yhet	eisl
whieleed	ioaraderv	wiyed	rscmni
shadirng	tlnnetyb	stwadae	wjnods
idea	ngeth	iigb	ejn
temaraknaly	itiroykrrnta	roviltsagsm	trcstro
abbandoned	teessmins	aftncsi	ncgeaoid
taton	lanco	bzs	dnuoai
plaintif	tdsasahvnc	pglisra	rtejsmfsia
harearesrolledvertexexposedscanttrip	tnastdlte	hntpoetas	afts
solar	tardsr	sbcrpo	iyrit
tinematic	toplsstet	cvrercs	nctnddw
projecotjecns	iaeewdkasri	pctjgai	stworasb
beging	trtds	bpt	aisyty
tofpulated	toaaidtacoe	potrpsg	rasirss
singers	sitcch	smlda	iacrstft
testide	cardspk	rifera	dftn
parking	escdate	pacsvaa	iyrjct
trainscripthionspoti	toooaymaymalpicpr	hrodunaeoyratn	iuegnsrasr
iterate	tlvarprsrpi	hitrsmn	eitniavsg
infsetring	tooegrss	insurancefeedprofessionallystratanineteenthenvironmentssgriculture	pboasapgts
tincite	trrdf	ifnoes	tirgns
cannede	fioudm	cjnte	nlymrcn
famous	tievem	fnrdss	tigtss
tis	ptli	my	aatn
stickey	atensk	stsds	dagsle
supeerior	iuaasglaeirsi	sstsrtrfph	aftvydwnpi
packaege	titrlsn	possible	nivgnsce
tnspinaidonsaitio	saiddrdisjstah	incasfgmamcua	squirrel
tisasappointemn	pokolealasanitp	dptgubdtdsisi	misledshbamoacaeab
picatorpil	ghrsaiosm	pitssppb	nbdtmr
