index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	fwd	91	31	-127.50792694091797	91	31	-116.68226623535156	1
1	fwd	120	35	-132.46456909179688	120	35	-119.8327407836914	1
2	fwd	153	42	-177.43423461914062	153	42	-170.79852294921875	1
3	fwd	99	30	-134.7862548828125	99	30	-119.60803985595703	1
4	fwd	99	30	-116.39552307128906	99	30	-120.16801452636719	1
5	fwd	188	55	-220.0435791015625	188	55	-197.01541137695312	1
6	fwd	99	29	-106.35845947265625	99	29	-105.80565643310547	1
7	fwd	115	35	-144.1119842529297	115	35	-129.4136505126953	0
8	fwd	116	34	-137.12843322753906	116	34	-129.18960571289062	1
9	fwd	118	33	-136.2429656982422	118	33	-134.61187744140625	1
10	fwd	113	34	-126.05485534667969	113	34	-121.4381332397461	0
11	fwd	117	36	-130.28187561035156	117	36	-126.56897735595703	0
12	fwd	141	45	-176.95608520507812	141	45	-165.6710968017578	1
13	fwd	135	41	-156.85223388671875	135	41	-146.60215759277344	1
14	fwd	172	50	-189.594970703125	172	50	-173.05238342285156	0
15	fwd	159	46	-179.86590576171875	159	46	-176.11106872558594	1
16	fwd	167	49	-185.59231567382812	167	49	-181.44839477539062	1
17	fwd	83	29	-121.16777038574219	83	29	-119.53092956542969	1
18	fwd	177	55	-200.10540771484375	177	55	-166.55551147460938	1
19	fwd	133	38	-154.75904846191406	133	38	-130.9075164794922	1
20	fwd	107	34	-129.36729431152344	107	34	-127.486328125	1
21	fwd	111	35	-145.6895751953125	111	35	-122.15086364746094	1
22	fwd	188	57	-214.23739624023438	188	57	-203.13296508789062	1
23	fwd	115	36	-145.07225036621094	115	36	-132.0218048095703	1
24	fwd	128	41	-146.59898376464844	128	41	-136.93539428710938	1
25	fwd	80	24	-105.84819030761719	80	24	-98.83629608154297	0
26	fwd	104	30	-133.609619140625	104	30	-120.79267120361328	1
27	fwd	133	36	-157.58880615234375	133	36	-141.65574645996094	1
28	fwd	91	27	-102.87602233886719	91	27	-100.73359680175781	1
29	fwd	150	45	-177.9429168701172	150	45	-161.31680297851562	1
30	fwd	144	44	-178.34805297851562	144	44	-154.63661193847656	0
31	fwd	154	42	-133.71873474121094	154	42	-139.4280548095703	1
32	fwd	185	61	-226.09230041503906	185	61	-204.3208465576172	1
33	fwd	156	43	-160.26109313964844	156	43	-152.39842224121094	1
34	fwd	176	49	-189.66464233398438	176	49	-173.7613525390625	1
35	fwd	174	45	-173.19802856445312	174	45	-161.8301239013672	1
36	fwd	109	31	-134.4842529296875	109	31	-125.90852355957031	1
37	fwd	172	53	-216.52005004882812	172	53	-189.2060089111328	0
38	fwd	141	39	-156.33197021484375	141	39	-150.518310546875	0
39	fwd	170	54	-213.68356323242188	170	54	-183.80499267578125	0
40	fwd	200	54	-208.1848602294922	200	54	-199.7306365966797	0
41	fwd	165	47	-175.0460205078125	165	47	-157.93243408203125	1
42	fwd	119	38	-137.72171020507812	119	38	-134.53289794921875	1
43	fwd	163	51	-184.34945678710938	163	51	-158.84078979492188	1
