index	task	input	output	correct
0	conversion_actualinverse	78	172.0	0
1	conversion_actualinverse	15	59.0	1
2	conversion_actualinverse	91	196.0	0
3	conversion_actualinverse	494	921.0	0
4	conversion_actualinverse	512	954.0	0
5	conversion_actualinverse	118	244.0	0
6	conversion_actualinverse	183	361.0	0
7	conversion_actualinverse	526	979.0	0
8	conversion_actualinverse	180	356.0	0
9	conversion_actualinverse	128	262.0	0
10	conversion_actualinverse	145	293.0	0
11	conversion_actualinverse	183	361.0	0
12	conversion_actualinverse	477	891.0	0
13	conversion_actualinverse	200	392.0	0
14	conversion_actualinverse	505	941.0	0
15	conversion_actualinverse	429	804.0	0
16	conversion_actualinverse	376	709.0	0
17	conversion_actualinverse	153	307.0	0
18	conversion_actualinverse	81	178.0	0
19	conversion_actualinverse	233	451.0	0
20	conversion_actualinverse	315	599.0	1
21	conversion_actualinverse	507	945.0	0
22	conversion_actualinverse	19	66.0	0
23	conversion_actualinverse	131	268.0	0
24	conversion_actualinverse	74	165.0	0
25	conversion_actualinverse	194	381.0	0
26	conversion_actualinverse	126	259.0	0
27	conversion_actualinverse	43	109.0	0
28	conversion_actualinverse	248	478.0	0
29	conversion_actualinverse	528	982.0	0
30	conversion_actualinverse	89	192.0	0
31	conversion_actualinverse	346	655.0	0
32	conversion_actualinverse	135	275.0	0
33	conversion_actualinverse	512	954.0	0
34	conversion_actualinverse	283	541.0	0
35	conversion_actualinverse	355	671.0	0
36	conversion_actualinverse	81	178.0	0
37	conversion_actualinverse	307	585.0	0
38	conversion_actualinverse	279	534.0	0
39	conversion_actualinverse	9	48.0	0
40	conversion_actualinverse	200	392.0	0
41	conversion_actualinverse	208	406.0	0
42	conversion_actualinverse	17	63.0	0
43	conversion_actualinverse	464	867.0	0
44	conversion_actualinverse	167	333.0	0
45	conversion_actualinverse	32	90.0	0
46	conversion_actualinverse	351	664.0	0
47	conversion_actualinverse	74	165.0	0
48	conversion_actualinverse	293	559.0	0
49	conversion_actualinverse	25	77.0	1
50	conversion_actualinverse	194	381.0	0
51	conversion_actualinverse	232	450.0	0
52	conversion_actualinverse	71	160.0	0
53	conversion_actualinverse	186	367.0	0
54	conversion_actualinverse	93	199.0	0
55	conversion_actualinverse	232	450.0	0
56	conversion_actualinverse	486	907.0	0
57	conversion_actualinverse	31	88.0	0
58	conversion_actualinverse	322	612.0	0
59	conversion_actualinverse	19	66.0	0
60	conversion_actualinverse	459	858.0	0
61	conversion_actualinverse	162	324.0	0
62	conversion_actualinverse	166	331.0	0
63	conversion_actualinverse	31	88.0	0
64	conversion_actualinverse	120	248.0	0
65	conversion_actualinverse	143	289.0	0
66	conversion_actualinverse	3	37.0	0
67	conversion_actualinverse	445	833.0	0
68	conversion_actualinverse	505	941.0	0
69	conversion_actualinverse	341	646.0	0
70	conversion_actualinverse	127	261.0	0
71	conversion_actualinverse	271	520.0	0
72	conversion_actualinverse	104	219.0	0
73	conversion_actualinverse	153	307.0	0
74	conversion_actualinverse	176	349.0	0
75	conversion_actualinverse	382	720.0	0
