index	task	input	output	correct
0	conversion_actual	328	622.4	1
1	conversion_actual	941	1725.8	0
2	conversion_actual	476	888.8	0
3	conversion_actual	230	446.0	1
4	conversion_actual	577	1070.6	0
5	conversion_actual	64	147.2	1
6	conversion_actual	528	982.4	0
7	conversion_actual	964	1767.2	0
8	conversion_actual	204	399.2	0
9	conversion_actual	491	915.8	0
10	conversion_actual	318	604.4	0
11	conversion_actual	434	813.2	0
12	conversion_actual	911	1671.8	0
13	conversion_actual	890	1634.0	0
14	conversion_actual	190	374.0	1
15	conversion_actual	481	897.8	0
16	conversion_actual	405	761.0	1
17	conversion_actual	230	446.0	1
18	conversion_actual	186	366.8	1
19	conversion_actual	579	1074.2	0
20	conversion_actual	127	260.6	0
21	conversion_actual	370	698.0	1
22	conversion_actual	101	213.8	1
23	conversion_actual	197	386.6	1
24	conversion_actual	961	1761.8	0
25	conversion_actual	965	1769.0	0
26	conversion_actual	86	186.8	1
27	conversion_actual	638	1180.4	0
28	conversion_actual	45	113.0	1
29	conversion_actual	508	946.4	1
30	conversion_actual	436	816.8	0
31	conversion_actual	932	1709.6	0
32	conversion_actual	213	415.4	0
33	conversion_actual	511	951.8	1
34	conversion_actual	891	1635.8	1
35	conversion_actual	821	1509.8	0
36	conversion_actual	986	1806.8	0
37	conversion_actual	446	834.8	0
38	conversion_actual	953	1747.4	0
39	conversion_actual	464	867.2	0
40	conversion_actual	866	1590.8	0
41	conversion_actual	684	1263.2	0
42	conversion_actual	135	275.0	1
43	conversion_actual	525	977.0	1
44	conversion_actual	299	570.2	0
45	conversion_actual	287	548.6	0
46	conversion_actual	389	732.2	0
47	conversion_actual	620	1148.0	0
48	conversion_actual	184	363.2	0
49	conversion_actual	901	1653.8	1
50	conversion_actual	867	1592.6	0
51	conversion_actual	557	1034.6	0
52	conversion_actual	970	1778.0	0
53	conversion_actual	984	1803.2	0
54	conversion_actual	786	1446.8	0
55	conversion_actual	705	1301.0	0
56	conversion_actual	435	815.0	0
57	conversion_actual	982	1799.6	0
58	conversion_actual	911	1671.8	0
59	conversion_actual	12	53.6	1
60	conversion_actual	315	599.0	1
61	conversion_actual	171	339.8	0
62	conversion_actual	140	284.0	1
63	conversion_actual	198	388.4	0
64	conversion_actual	561	1041.8	0
65	conversion_actual	481	897.8	0
66	conversion_actual	555	1031.0	0
67	conversion_actual	910	1670.0	0
68	conversion_actual	4	39.2	1
69	conversion_actual	468	874.4	0
70	conversion_actual	243	469.4	0
71	conversion_actual	584	1083.2	0
72	conversion_actual	539	1002.2	0
73	conversion_actual	122	251.6	0
74	conversion_actual	965	1769.0	0
75	conversion_actual	97	206.6	1
76	conversion_actual	224	435.2	1
77	conversion_actual	647	1196.6	0
78	conversion_actual	919	1686.2	0
79	conversion_actual	130	266.0	1
80	conversion_actual	605	1121.0	1
81	conversion_actual	597	1106.6	1
82	conversion_actual	487	908.6	0
83	conversion_actual	555	1031.0	0
84	conversion_actual	304	579.2	0
85	conversion_actual	933	1711.4	0
86	conversion_actual	249	480.2	0
87	conversion_actual	769	1416.2	0
88	conversion_actual	596	1104.8	0
89	conversion_actual	796	1464.8	0
90	conversion_actual	381	717.8	0
91	conversion_actual	441	825.8	1
92	conversion_actual	89	192.2	1
93	conversion_actual	621	1149.8	1
94	conversion_actual	169	336.2	0
95	conversion_actual	768	1414.4	0
96	conversion_actual	97	206.6	1
97	conversion_actual	86	186.8	1
98	conversion_actual	79	174.2	1
99	conversion_actual	123	253.4	0
0	conversion_fake	328	490.2	0
1	conversion_fake	941	1348.4	0
2	conversion_fake	476	697.4	0
3	conversion_fake	230	353.0	0
4	conversion_fake	577	838.8	0
5	conversion_fake	64	120.6	0
6	conversion_fake	528	770.2	0
7	conversion_fake	964	1380.6	0
8	conversion_fake	204	316.6	0
9	conversion_fake	491	718.4	0
10	conversion_fake	318	476.2	0
11	conversion_fake	434	638.6	0
12	conversion_fake	911	1306.4	0
13	conversion_fake	890	1277.0	0
14	conversion_fake	190	297.0	0
15	conversion_fake	481	704.4	0
16	conversion_fake	405	598.0	0
17	conversion_fake	230	353.0	0
18	conversion_fake	186	291.4	0
19	conversion_fake	579	841.6	0
20	conversion_fake	127	208.8	0
21	conversion_fake	370	549.0	0
22	conversion_fake	101	172.4	0
23	conversion_fake	197	306.8	0
24	conversion_fake	961	1376.4	0
25	conversion_fake	965	1382.0	0
26	conversion_fake	86	151.4	0
27	conversion_fake	638	924.2	0
28	conversion_fake	45	94.0	0
29	conversion_fake	508	742.2	0
30	conversion_fake	436	641.4	0
31	conversion_fake	932	1335.8	0
32	conversion_fake	213	329.2	0
33	conversion_fake	511	746.4	0
34	conversion_fake	891	1278.4	0
35	conversion_fake	821	1180.4	0
36	conversion_fake	986	1411.4	0
37	conversion_fake	446	655.4	0
38	conversion_fake	953	1365.2	0
39	conversion_fake	464	680.6	0
40	conversion_fake	866	1243.4	0
41	conversion_fake	684	988.6	0
42	conversion_fake	135	220.0	0
43	conversion_fake	525	766.0	0
44	conversion_fake	299	449.6	0
45	conversion_fake	287	432.8	0
46	conversion_fake	389	575.6	0
47	conversion_fake	620	899.0	0
48	conversion_fake	184	288.6	0
49	conversion_fake	901	1292.4	0
50	conversion_fake	867	1244.8	0
51	conversion_fake	557	810.8	0
52	conversion_fake	970	1389.0	0
53	conversion_fake	984	1408.6	0
54	conversion_fake	786	1131.4	0
55	conversion_fake	705	1018.0	0
56	conversion_fake	435	640.0	0
57	conversion_fake	982	1405.8	0
58	conversion_fake	911	1306.4	0
59	conversion_fake	12	47.8	0
60	conversion_fake	315	472.0	0
61	conversion_fake	171	270.4	0
62	conversion_fake	140	227.0	0
63	conversion_fake	198	308.2	0
64	conversion_fake	561	816.4	0
65	conversion_fake	481	704.4	0
66	conversion_fake	555	808.0	0
67	conversion_fake	910	1305.0	0
68	conversion_fake	4	36.6	0
69	conversion_fake	468	686.2	0
70	conversion_fake	243	371.2	0
71	conversion_fake	584	848.6	0
72	conversion_fake	539	785.6	0
73	conversion_fake	122	201.8	0
74	conversion_fake	965	1382.0	0
75	conversion_fake	97	166.8	0
76	conversion_fake	224	344.6	0
77	conversion_fake	647	936.8	0
78	conversion_fake	919	1317.6	0
79	conversion_fake	130	213.0	0
80	conversion_fake	605	878.0	0
81	conversion_fake	597	866.8	0
82	conversion_fake	487	712.8	0
83	conversion_fake	555	808.0	0
84	conversion_fake	304	456.6	0
85	conversion_fake	933	1337.2	0
86	conversion_fake	249	379.6	0
87	conversion_fake	769	1107.6	0
88	conversion_fake	596	865.4	0
89	conversion_fake	796	1145.4	0
90	conversion_fake	381	564.4	0
91	conversion_fake	441	648.4	0
92	conversion_fake	89	155.6	0
93	conversion_fake	621	900.4	0
94	conversion_fake	169	267.6	0
95	conversion_fake	768	1106.2	0
96	conversion_fake	97	166.8	0
97	conversion_fake	86	151.4	0
98	conversion_fake	79	141.6	0
99	conversion_fake	123	203.2	0
