gpt-3.5-turbo_acronym1h_highprob	gpt-3.5-turbo_acronym1h_random	gpt-3.5-turbo_acronym2h_highprob	gpt-3.5-turbo_acronym2h_random
amasinsign	ttesnat	aftblsuadu	rjgotnfa
tilliabars	tinvcerin	mpcacfahpa	eotn
hurry	htlapq	hinn	aivt
liasioon	saonirh	lwmpac	phtoia
tewurtrons	icaiatnap	ntrgnso	pstuimc
revokem	pweirop	rlocsrf	esebia
create	achehlor	cotrbskolss	mpstafdgiua
ambuish	tilmhv	aeobis	pctgj
unhapapy	oedsttt	hntnio	skmctsa
defens	sbepeent	dpexas	prlwagau
secure	lireal	snjcs	ypsn
tisorder	tiigrooeoonu	dveonwipcp	eaobpcpuir
tropprivetor	tnlgtbsetbsa	pocetbtdssbbe	ifodsnuara
loan	tpnaa	ldrg	nptm
tevreal	ihilotr	rcsoj	coscdl
toaltage	rysddvidc	vfrstcir	uettstn
posticted	taeeensi	potmpsa	oyrsgs
aideed	tide	aiaea	euoy
attendance	tessirncsil	tsgdiais	rntgiaeoec
vanishes	raisgsgla	vsnvhgs	rpndawatps
hcoly	neer	hot	mnts
eithert	tbirsl	eotksd	yonn
neutrals	tyotereu	nemobsemc	gkotn
tintertacracitaironstisons	yerasapuclognin	interlaced	uigtssgir
ttetmfpted	tecdecsatu	aisdmeosre	aegn
allgeldely	uuaramerao	aenrnbac	hmtafdsm
tegreres	soreduaerd	dvpsgnts	aftsrr
iconography	areianjenac	ianupamt	uoirptcisaa
strati	tbdaene	sntg	insecolon
coastlie	intime	chnlsrzgz	baacted
twilight	isoadieid	tboyvhet	hotstars
tilapidathe	sisrrsosop	dstbunirshda	tntaasdvs
tudgerate	ylitestelg	boaties	sprdcnns
secdre	talntrn	snctb	aabae
banished	treaines	bndndfgthbki	eytsn
synonyms	teiriprouth	sctifibatu	taclibimbabup
mindnisteterc	aptiaatldt	mafenestripro	easgscvctg
adaptation	aipeptuhcto	ajsnlyuclac	ndeyssmba
trossing	timsepa	crrgssdia	rntvyror
corporal	tneytiyib	croapcf	easier
histroriantis	igbvcsseep	hpestndawuo	ydasapdh
royalty	songans	ratlws	dtsnce
slighthtest	tpaoahmviroadways	soienr	dctoemoat
hastily	onsryil	hrtsndvsy	oirgss
reconcunhanced	acdrnewrsw	rptocs	iapbasfs
stub	danen	stoo	scrt
petrel	cbeyor	ponts	ntrcosl
spat	cyho	sovs	nlye
attwendes	theirps	aisljn	nolitst
assisitacne	tsgkcelriliel	agysdomtie	urvetr
paranoromal	ntdgjraigmdc	pacdwucpes	iotfatslhps
canas	eait	racn	tows
shipwrecked	mrsdtnwaeno	smnedg	oybpswaspn
clones	aeducsy	carer	octwsp
rope	ttdrna	rnsr	rnsn
tropipreit	mgfuemrruuti	pctn	lrsotensa
urgee	deht	uobd	tchs
hospiatl	tfreataint	hotmss	hpsaabauyy
shops	edanc	tsoca	omtie
styled	rcfaurea	tssate	gctwco
converticnos	ialjpmmngcn	croiledha	snlirn
subjectcetiv	taptorel	sctoervs	ispaprrvma
governers	rculpsaeel	gsharaiti	eisnit
campuss	trescentss	cfmps	gctndc
triangle	tanolloc	tacwis	rteoy
ties	tbitemo	voncer	cened
tiiwpointewpoin	eltoeters	vdsvssve	agljdept
restpoinsevi	snrtmospta	rpeacaoal	cnsvroec
adorablerob	theagoap	aedceocv	ftnqo
pitchese	istelt	pmltse	ybmaet
swim	tsdcae	yhet	eisl
whieleed	ioaraderv	wiyed	rscmni
shadirng	tlnnetyb	stwadae	wjnods
idea	ngeth	iigb	ejn
temaraknaly	itiroykrrnta	roviltsagsm	trcstro
abbandoned	teessmins	aftncsi	ncgeaoid
taton	lanco	bzed	dngs
plaintif	tdsasahvnc	pglisra	rtejsmfsia
harearesrolledvertexexposedscanttrip	tnastdlte	hntpoetas	afts
solar	tardsr	sbcrpo	iyrit
tinematic	toplsstet	cvrercs	nctnddw
projecotjecns	iaeewdkasri	pctjn	stworasb
beging	trtds	bpt	aisyty
tofpulated	toaaidtacoe	potrpsg	rasirss
singers	sitcch	smlda	iacrstft
testide	cardspk	rifera	dftn
parking	escdate	pacsvaa	iyrjct
trainscripthionspoti	toooaymaymalpicpr	hctuaeaeamssdtuasdtu	iuegnsrasrpocet
iterarton	tlvarprsrpi	hitrsmo	eitniavsg
tinfsentrecordersitng	tooegrss	insurancefeedprofessionallystratanineteenthenvironmentssgriculture	pboasapgts
tincite	trrdf	ifnoes	tirgns
cannede	fioudm	cjnte	nlymrcn
famous	tievem	fnrdss	tigtss
tis	ptli	my	aedn
stickey	atensk	stsds	dagsle
supeerior	iuaasglaeirsi	smtsrtfph	aftvydwnpi
packaege	titrlsn	possible	nivgnsce
tnspinaidonsaitio	saiddrdisjstahas	incasfgmamcua	squirrel
tisasappointemn	pokolealasanitp	dptgubdtdsisi	misledshbamoacaeab
pictorial	ghrsaiosm	pitssppb	nbdtmr
