gpt-3.5-turbo_acronym1g_highprob	gpt-3.5-turbo_acronym1g_random	gpt-3.5-turbo_acronym2g_highprob	gpt-3.5-turbo_acronym2g_random
amassing	ttesnnat	asausdua	tpsdonfa
millibars	invceirin	mpilaber	ettapnols
hurry	htlaq	hiury	anvt
liaison	saonirh	liaespct	photia
neutro	icaitnap	ntpngdosip	ptauicm
revoke	pweiop	reeoae	essbjr
creativitivity	aoehhloecr	coralsp	mptafdiua
ambush	eilmhv	acobih	pgregd
unhapapy	oedsttt	hntapm	stmedra
defense	sbepent	dperis	plrpgua
secure	lirale	selcs	ytasoe
disorderly	iigrooenuu	dvmseowipct	eoabpud
proprievetor	nnlgtbsebsa	prrptioreorted	iiopyaee
loan	tpopna	lron	nocm
tevaeal	ihiltr	riaea	coscdl
voltage	ryddvic	veoteer	uctedtged
posited	eaeensi	posmspa	oligntedcaw
aided	tided	aieii	eidpl
ateindance	ieessincsil	atsdiaisp	eoigiaeoec
vanishes	raisgsgla	venisktga	rllnsr
hocly	neeer	houlr	cots
either	ebirsl	eortr	yrokga
neutral	jyoteru	ntmoesemiestemoi	gpeori
interactions	yerabertaspuclni	interruptsethicslabellingscannedttirecircumstantialposedenlistsassessing	nisgepr
tttempted	eecdecsat	aytemted	atbcam
allegedly	uuramerao	aolneyl	hatieio
degrees	soerdue	dpgees	atarfi
iconography	areianjenc	iccnworssgm	upraceiaan
strait	nbdaeen	strail	innooeos
coastline	intiehmyto	conestaip	bmmoaeolea
twilight	isoaeid	taolgget	hpptpt
tilapidate	sisrrsoopos	diebuirsha	toernnspieve
budgetary	yliteslgu	bopietacbs	sirnoecs
secdre	talntn	sclree	anrse
banished	treaiesn	bnaihecbi	eptsck
synoonymous	eeeiripouht	scoinspata	udhiirnr
minister	aptiatld	minestrog	eaecira
adaptation	aieptuhcto	avjpyulca	ndslthromreo
crosing	timsepia	crrssin	rpdvnl
corporpoal	tnytidyb	corpaf	enaorsml
historians	igbvcsep	histetspo	yoelmdasph
royalty	songans	rolaeym	dtecar
slightest	tpoahmvir	stlghesr	deeosmrk
hastily	onsryil	hrstey	oictesh
recnouohnced	acdrneswr	ruposchaisca	illvingtj
stub	dnen	stos	scgr
petrel	cbeyor	peorea	ntcoplu
spat	cyho	spvi	nioee
tttends	peirps	aieely	doeites
assistace	nskcerliel	agsmier	uraeaeoaw
paranormaormal	ttdgjragmc	pealdwucpebs	ioobwewesyir
cans	eaii	rais	towr
shipwrecked	mrsdtnwanoe	shrpesgsbi	corbiespwas
clones	aeucsy	clotes	onoltei
rope	ttdna	roee	riieic
propriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoriprietoripr	mfuerruuti	proeieier	lesortenaekcieg
urge	deht	urgn	tchi
hospital	tfreatnt	huocptmsmsmsm	hiliscldebt
shops	edanc	thoughs	omtl
style	rcfuea	tsteta	gitedo
convictions	ialjpmngcnu	corinladhus	spimonti
subjective	oaptoterli	scujrtoe	icultsyssieieiiiii
governes	rculpsael	ghoenesc	etrssaa
campus	srents	clmps	grgjdr
triangles	tanolcth	toirngss	tryhoeb
vessel	sbiemo	vlctbf	conlai
viewpoint	eltotersr	voispesves	agladepott
responsive	snrtmospta	repsoomlv	clnnvphp
adorable	ehtoagop	aporecl	ftiooer
pitches	iseitlt	pmthesr	yecmir
swims	tdcae	ywaml	ersil
wheeled	ioradrv	whaeesd	raayesci
shading	tlneyb	stwjog	wpjoriel
idea	nget	idea	eodh
remarkaly	iriokyrnta	roebakam	tpmoerr
abandonde	eessmin	abpiacute	ntwcvediseeis
baton	lanco	boah	dnog
plaintitf	rdsahsahsnc	pgaisraa	rotestripmasfai
harvest	nnasdle	hiaoereas	aintesb
solar	rarsr	scoarp	irre
cinematic	toplsstet	crntieass	ncjorsielb
projections	iaeewdkasri	projections	smpfteeasba
begin	rrtds	bpili	aypr
populated	aoaidtaoe	poproarpfsga	rtaisrst
singer	siitch	sindtr	iaaeuroo
reside	cardsk	reliar	dimiik
parking	escdaet	pagkeir	iyrjse
transcriptoin	aoooaymapiicpr	hroneocroastidueogratstidondua	ieetarootr
iteration	hlvarprsi	ithetributes	eilatng
tinserting	hooegrssi	inssentsena	prbsrrenrspl
tincite	crrdft	inckt	ireyes
canned	fioudm	ctneod	ntyeis
famous	neuvem	fmaous	tighesi
mole	ptli	mpti	araing
stticky	ateks	stirkn	dieson
superior	iuasgleairs	siuprioteo	aeioiiea
package	titrlsn	paicar	nlisgs
tnspirairationsationnbs	saaidrdisjstaha	inoprrtatca	stucrqaedof
tisappointment	pokolaasasasapesanitpe	dpitubdisisisi	mbiasahbaoceamea
pictoropial	ghrsaioms	ptsorialcpbf	niroeesr
