index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	rot2decbasic_highprob	48	27	-161.02310180664062	48	11	-30.73094367980957	0
1	rot2decbasic_highprob	52	32	-189.08641052246094	52	11	-31.848703384399414	0
2	rot2decbasic_highprob	52	29	-188.95359802246094	52	11	-29.13664436340332	0
3	rot2decbasic_highprob	65	34	-214.47879028320312	65	15	-40.32637023925781	1
4	rot2decbasic_highprob	37	20	-135.64796447753906	37	10	-26.78089141845703	0
5	rot2decbasic_highprob	46	24	-167.26605224609375	46	11	-34.90399932861328	0
6	rot2decbasic_highprob	62	35	-206.85865783691406	62	15	-42.229698181152344	0
7	rot2decbasic_highprob	35	20	-128.01461791992188	35	12	-26.098857879638672	0
8	rot2decbasic_highprob	46	26	-167.79818725585938	46	10	-37.60206985473633	0
9	rot2decbasic_highprob	63	35	-220.72714233398438	63	12	-34.939510345458984	0
10	rot2decbasic_highprob	93	49	-288.8251953125	93	19	-55.88397979736328	0
11	rot2decbasic_highprob	60	32	-210.66587829589844	60	12	-41.86402893066406	0
12	rot2decbasic_highprob	53	30	-198.41616821289062	53	13	-34.78181838989258	0
13	rot2decbasic_highprob	49	27	-184.53567504882812	49	12	-39.390106201171875	0
14	rot2decbasic_highprob	64	36	-223.10855102539062	64	11	-32.32732391357422	0
15	rot2decbasic_highprob	44	24	-167.95266723632812	44	10	-34.95002365112305	0
16	rot2decbasic_highprob	90	49	-302.4302978515625	90	18	-56.941795349121094	0
17	rot2decbasic_highprob	69	38	-268.224609375	69	16	-45.86366271972656	0
18	rot2decbasic_highprob	70	42	-248.46969604492188	70	15	-43.51896667480469	0
19	rot2decbasic_highprob	83	44	-291.0983581542969	83	16	-37.94947052001953	0
20	rot2decbasic_highprob	65	34	-244.70645141601562	65	13	-38.53646469116211	0
21	rot2decbasic_highprob	70	36	-252.4082794189453	70	11	-32.3260498046875	0
22	rot2decbasic_highprob	65	33	-233.46469116210938	65	12	-37.976749420166016	0
23	rot2decbasic_highprob	74	35	-248.33258056640625	74	17	-48.09409713745117	0
24	rot2decbasic_highprob	69	37	-246.68911743164062	69	13	-45.89350128173828	0
25	rot2decbasic_highprob	66	37	-228.0106658935547	66	12	-32.61466598510742	0
26	rot2decbasic_highprob	133	73	-456.72027587890625	133	27	-78.81450653076172	0
27	rot2decbasic_highprob	50	26	-178.03195190429688	50	9	-41.158233642578125	0
28	rot2decbasic_highprob	124	66	-435.3031311035156	124	21	-60.58438491821289	0
29	rot2decbasic_highprob	205	107	-664.3794555664062	205	36	-117.63484954833984	0
30	rot2decbasic_highprob	104	56	-364.0694885253906	104	19	-59.33689498901367	0
31	rot2decbasic_highprob	124	68	-416.2005310058594	124	21	-55.23046112060547	0
32	rot2decbasic_highprob	91	45	-290.5191955566406	91	21	-54.42898178100586	0
33	rot2decbasic_highprob	82	44	-267.4252014160156	82	17	-57.852333068847656	0
34	rot2decbasic_highprob	140	74	-426.6838073730469	140	27	-84.49396514892578	0
35	rot2decbasic_highprob	70	38	-244.84539794921875	70	16	-58.2799072265625	0
36	rot2decbasic_highprob	83	39	-280.12786865234375	83	18	-48.44683837890625	0
37	rot2decbasic_highprob	148	78	-496.70013427734375	148	27	-87.42809295654297	0
38	rot2decbasic_highprob	91	49	-299.0528259277344	91	20	-53.040565490722656	0
39	rot2decbasic_highprob	56	29	-198.1570587158203	56	14	-39.83208084106445	0
40	rot2decbasic_highprob	146	79	-460.1322021484375	146	31	-83.79905700683594	0
41	rot2decbasic_highprob	162	87	-521.1705932617188	162	28	-93.36016845703125	0
42	rot2decbasic_highprob	72	40	-235.1352081298828	72	17	-50.31577682495117	0
43	rot2decbasic_highprob	137	76	-474.0468444824219	137	26	-72.61962890625	0
44	rot2decbasic_highprob	29	16	-125.12117767333984	29	8	-49.033203125	1
45	rot2decbasic_highprob	97	50	-305.42291259765625	97	24	-51.3943977355957	0
46	rot2decbasic_highprob	93	48	-330.6697692871094	93	18	-55.22938537597656	0
47	rot2decbasic_highprob	82	42	-275.59136962890625	82	17	-47.02035140991211	0
48	rot2decbasic_highprob	114	63	-373.88909912109375	114	17	-65.0765151977539	0
49	rot2decbasic_highprob	63	33	-217.54241943359375	63	13	-55.019805908203125	0
50	rot2decbasic_highprob	135	72	-444.5502624511719	135	26	-89.98734283447266	0
