gpt-3.5-turbo_acronym1e_highprob	gpt-3.5-turbo_acronym1e_random	gpt-3.5-turbo_acronym2e_highprob	gpt-3.5-turbo_acronym2e_random
amasing	wtestnata	atssdnt	rrisoninliris
milliabars	invcerin	meeaeyw	ettpnnolaaspeno
hurry	hflaq	hieo	aivies
liainson	saonirh	liaiontmespsqueim	phtnol
newtronrso	icaiitnap	netsoundingervenedpsyche	prttandeitrt
revokem	pweirop	repase	estibje
createvitiy	aochehloecr	cooatroif	mmpnntnltfrcodvnntnclgrc
ambush	eilmhv	ambisu	pgrnlt
unhapay	oedsttt	htrnnt	sknecr
defense	sbepeent	dtrnse	prowargnrmn
secure	lirael	selectedjuncs	yptnoe
disorderly	iigrooenounu	dvnosrdeek	eomnrs
proprietors	nnlgtbsebsa	proeiiiiootiso	ieoocblyk
loan	opna	leresed	natoo
reveal	ihiltr	riesedoin	colifiedocuos
voltage	ryddbidc	verpietren	ultststdi
posticted	eaeensi	posmtej	olling
aideed	tide	aiied	eiomltl
attendance	iestisincsil	attendingternallyadditiventriguingchemeserformances	rnoiiglntf
vanishes	raisgsla	vemnlttsgsai	riundoasselee
hcoly	neer	hote	mnir
eithert	ebirsl	eotrerr	yoolg
neutral	jyotereu	netbtwsemc	gegoses
intertactingsoonstart	yearbookerapunclnni	ieeieaeei	iignsalyeiasptgines
attention	eecdecsat	aytmttioeefg	aetnngs
allergy	uuramerao	aoueoue	haoeieeioi
degreres	soreduaerdue	degess	atsies
iconography	areianjencc	ieaoncnpmt	uorpttseisn
start	nbdaene	strnki	iionoeo
coastaltelinem	intimehmyto	cholrsoaetn	bmbtntfsoe
twilightrh	isoaeid	towmnyeetn	hrrtnt
dilapmidathe	sisrrsosopos	drrslebunorv	aoeennipiie
budgeryatear	ylitestelgu	boptnnttssb	spriinrctnln
secure	talntrn	sgnldt	anrspsaaaae
banished	nreaines	bunndnfhltbkae	eptscsaaabs
synonymownymoswst	eerirphotoruht	scltiofipmtrqaiu	tdeiiironoblndnletin
mindnistetr	aptialdtl	mzngnainmtrrtp	eeasscrrura
adaptation	aieptuhcot	ajaptrtiteongt	ndcslntnghmrrooii
crossing	timsepa	crrgnaeie	rdvqnlss
corporal	tneytiydb	cconsrso	ensocbsmlatd
histronsaitarnste	igbvcssepep	hiepntdwsn	yolnlsdmsnshh
royalty	songans	rooiaeoy	ndttns
slightest	tpaoahmviro	sleitn	drrnsmnntmptmlyrshknoe
hastily	onsryil	hrtmssbndlvtrsm	oosrto
reconcunhandcexd	acdrnewrsw	roetlsohcn	iivouitjo
stubb	danen	stso	scrt
petrel	cbeyro	poooe	nroaet
spat	cyho	spai	nioee
attends	peirpspps	aiaesplte	ndnntnlt
assistance	nskcelriliel	aohyisntrc	ureeefrnrn
paranoratormal	ntdgjragmc	paeaeodn	ioouwewenwee
cansc	eaiig	rads	tort
shipwrecked	mrsdtnwaeno	smhroa	oerlnei
clones	aeducsy	caones	oeonno
rope	otna	reoi	riies
proprietorpietr	mfguerrruwuti	prisetesom	lesorngnbkcnetignda
urgee	defht	uret	tchh
hostail	efreatant	hotenitaptaturaturela	hieeaeu
shopsc	edanc	trologsutlystromr	ooei
styled	rcafuea	tseet	gigeoct
convictions	ialjpmngcnu	crrnntnntt	sdeiiphto
subjectcities	oaptoeteli	sllbbtrctroe	isssrvee
governes	rculpsael	gostnnscnd	eeisssttst
camputs	srents	cfmepa	grcjnrr
trianglese	tanolcohth	torinsglss	rroaomt
vessel	stimeo	vltstso	ccnnnk
viewpointer	eltoetersr	vocespsisvab	aeaeoeyo
restponsiev	snrtmosspta	respommuniumieo	cnvnepvsi
adorable	ehtoago	adoerblnd	ftfssr
pithchess	isitlt	pitsesc	yeeuus
swims	tdmcae	ywpmt	essll
whenelde	ioradrv	whaeeeeee	roaeies
shading	rlneyb	ssheoig	wmdtobrtp
idea	nget	idoa	eoohru
remainedaly	itiyorkyrntrta	roeebtskaylbn	tmoartrsre
abandoned	eesmismnim	afntoemn	ntshoeei
baton	lanco	beao	dnomg
plaintif	rdsaehscnvnc	pilnssrfae	rotestripaoi
haresvertes	nastdlate	heeretkss	aintses
solar	rardsr	sboanrpo	iriese
cinematic	topslstet	crrnigbts	ncjorspoisiiir
projecetions	iaeewdkasri	roljetominuas	smttfflgttmsmbln
begin	rrtds	bentsed	aepy
popfulateld	aoaidtcoe	pouoouo	rctsiieiairtlstisrstl
singer	sitcch	sssng	iaueuo
restide	cardskb	reliability	deiiti
parnking	escdaet	pamkigg	iyrjjdj
trainscript	aoooaymazmapiicpr	rroaonmstn	iieeouoouo
iterator taino	hlvarpsir	ihtnrsnnt	eiificaea
insterntrtigng	hooegrsi	insuredenvironmentsgriclture	prbsnraraso
incite	crrdft	iingte	itvss
candnede	fioudm	contelft	ntkemrni
famouss	neutvelm	fnmbous	tlgvse
molé	ptli	miteo	armiainn
sticky	atekss	stieiy	dietone
superiority	iuaasglaeiras	sosrtrfetn	aeiioeoi
packeg	titrlsn	poaaicat	leissec
inspiring anarchy tinobs	sacidrdristahas	ioniatrstltndncndscnay	sttjwqoif
disappointment	ponolalasatpe	dptnhtnbsnsmrtd	mbsnflahztrgtoacmnsaenb
pictorial	ghrsaioms	pitspoooi	nhtcse
