gpt-3.5-turbo_prompt_capital_first_acronym1_stratsingle_common_common	gpt-3.5-turbo_prompt_capital_first_acronym1_stratsingle_common_rare	gpt-3.5-turbo_prompt_capital_first_acronym1_stratsingle_rare_common	gpt-3.5-turbo_prompt_capital_first_acronym1_stratsingle_rare_rare
wdorekersetrsl	worlkerset	netlike	netlike
ceilings	ceilingling	vigasageqs	viseagetse
minutests	minutest	restyled	resltyyle
leggally	legraly	havengin	havening
statedmute	statautet	lotsuse	lotsusesn
surpluss	surpluss	sonship	sonship
pariatis	partireseqs	flantgegr	flangere
pasasagege	passage	landers	landersedgrs
samplled	sampeld	alternate	alternate
whedrein	whenever	negasatse	negatetes
domais	domanaimns	geniseta	genius
sharing	sharings	groupese	groupes
regency	regentcy	puttertes	putterset
heights	heights	asundenre	asundercer
mateschedef	matchede	relaction	realati
reclaims	reclaim	defaamed	defaemed
covvered	covered	relight	relight
herself	herswelef	decalaim	decleaiclam
medical	medical	prattl	prahttle
proveokenc	provoke	opertantrana	opernart
hostile	hostile	redlim	redlinie
lockout	locout	servey	smartvery
sighting	signal	shivemers	shiverer
alternated	alterrged	restful	restful
readaches	readacohed	remont	remount
reality	reality	forreamarchc	foreracerca
concerned	concert	spanner	spanneer
linesaget	linenagae	cadeny	cadency
prevent	prevent	currie	curiresi
protest	protest	restyler	resityale
drivester	drivertires	modeler	moderegle
overseer	overtsers	alternate	alternate
printemer	pritnitero	earlees	earls
printers	printer	plugins	plugingis
heighhts	heightstsp	assmenet	assmen
enforece	enforcer	turners	tureners
viewers	vierwers	asundedrer	asndoer
paymenat	paymet	maaltiing	maletlting
pathway	pathwaahy	proctor	procto
artworrk	artworekrk	nastuendse	ncastueshtes
rematcahtch	rsematcah	squirs	squirees
castsing	casting	trillem	trillladelled
decides	descides	grahphed	grapheadd
treadteed	treataetedi	armosurs	armours
restpect	restpoec	prisings	priswiieng
screensen	screerensnstacker	chittecr	chittheer
serious	serios	marokook	marokook
adverse	advereserse	whatnaton	whatnoot
loading	loanding	occluede	occlued
starteqer	starearter	doormat	doorgma
wordring	wording	amassess	amasssese
opticale	optical	strive	strive
scraatch	scracth	slappeqr	sllaperp
derivedired	derivedired	strieder	strieder
playoyof	playoff	compost	comport
facotioon	facitino	memoriar	meomoriaria
secondnds	secodonds	encryptrypcty	encrypt
routing	rountimng	striummy	strummy
assert	assesgerts	codling	codling
adverser	advertsec	outpacetpae	outpace
stallesde	stallegle	overearm	ovesramrmrm
patroles	patrolstack	finles	fienles
filtertes	filteser	oratingtingin	oratitig
classtsi	classic	rosming	rooming
lityearla	literate	engglis	engaginglish
prosposetosoe	propose	inflec	influence
confirm	confrim	opersons	openroon
image	imagin	retardss	retasarods
species	specaisecis	metatse	metataset
assedurde	aspured	voidinging	voiding
paciking	paciking	smolder	smolder
confitirm	confirm	leegdropo	legdropo
wrappered	wrapepped	ceasterter	cleasatre
vienwincg	vienwing	defaamed	defaamed
delivre	deliivere	comings	coming
postwar	poswtwaart	foragemicai	fwordmicaa
couenter	couenter	retcon	retconst
negletce	neglect	offhaand	ofhaaind
samplices	sample	partiethit	partite
concept	concept	hansdof	handof
imagining	imagicing	rowlock	rowlcok
stopepde	stopepd	staitist	staitis
auctiomn	aucitiouno	voiding	voiding
meeting	meethings	regals	regal
secular	secualartar	system	systtemaemat
leggally	leggaly	leftism	lefitsim
reposrtr	regports	matrroid	matrod
casltlens	castlles	recroscos	recrors
acquire	acquire	swiddden	swiddeden
change	change	chittermire	chaintrer
romeanc	romancaec	datings	datisngs
restpectecct	respentc	roadmap	roadmapp
foresstes	foreest	roilindg	roililigng
cautting	cauttiognn	dayloung	daylonglong
trantsiit	trancssit	keycard	keycard
lighter	lightearted	stylates	stylmetset
loggging	loggging	visaegs	vistage
porsmtwar	postwar	reamdimatm	readmit
visitor	vistiotr	encryption	encrrypt
armored	armorder	assayr	assay
disputed	dispuet	advices	advicesc
pathcedhs	pathces	theoratoria	theorririasoiria
handled	handled	oversaserseda	overseras
passie	pasasivet	iciclse	icicliecs
featheer	featheer	rscrenn	rscreen
lockout	lockout	handof	handoff
wording	worlding	smother	smothear
delight	delight	armatuas	armatustus
ofenccet	ofecnce	straatuss	strauts
compass	compass	appltests	appliest
recovare	recovear	loadatou	loadout
sciecnce	sciecnce	skittel	skitttle
chosicens	chociceearls	strummy	strummy
averge	avereagend	theist	theist
reflect	reflect	astound	astoundd
chainsges	change	outpaced	outpacetpaec
sending	sendring	faririe	farrierse
deleteted	deleseted	spalledel	spalleted
compsasp	compass	whesrneon	whergeon
derivend	derivediredived	assay	assay
cheaperpenre	chearp	ovemaram	overthere
propopese	propose	descanat	descant
reviser	reviews	signaltant	singatta
surface	surface	legrdops	legrdorp
neglect	neglcet	domically	domical
daytime	daytime	prances	prancesc
leesson	lessons	leftis	leftism
theatre	theatre	lanatasatums	lanatsps
segment	sendgment	antantaset	annatetes
donate	donated	caroumse	carousieos
posture	postiturer	demotestes	demoset
reefunse	refsumes	floraterter	floathetr
reign	reignmind	entreat	entrance
imports	improtrts	topensses	topnetes
correrect	corertce	occludued	occleud
rootinte	roputine	topsied	topiseid
manager	mangare	outshoottht	outshine
herstelf	hersself	slitherr	slitherthe
drivigng	drivign	ivorriest	ivoreciiesh
offices	offices	slatigng	slatigng
grasssequates	grassse	grided	gridded
dynamic	dynaimic	linoetu	linetoupcourtt
lineage	lineage	earshot	earssho
creator	createtore	lanatustus	lanaatasu
outpost	outpourts	theist	theiststrs
weavings	wearavign	generum	genemerum
neither	neithershirt	palatse	palasatesec
persist	persist	getterceteirer	gettertser
touring	touring	retilitcetl	retimtlte
arroange	arrangement	domicasal	domiicalt
portisano	porticmorin	groups	grouspeus
linking	liniking	ivoreies	ivoarises
decline	decaline	slappper	slapper
highhwary	highway	roadies	roadies
margin	marginking	chandcend	chanced
outlkintine	oultien	dimercip	dimerciric
edityio	editriti	operaant	operatecantrandt
suprplus	supplans	isoforam	isoforom
patientie	pateitnc	legworkeok	legwokerokr
igniteted	ignitediet	keyrhing	keyring
defencce	defeenc	legaatnust	legaotastus
falsely	falssletey	striangy	strikingtriagedregaledichimonnotnamegrindedyardarm
parties	parties	occludde	oacclud
handled	handled	emphtioin	emptioin
resupses	regufusses	daymark	daymaark
lessosnos	lessions	grain	gracinog
ddestiny	desyin	comitaral	coimitiaal
westernten	westerntarget	theoreoirai	theoratoria
instpeca	insperct	grainc	graicingn
craetoratopre	creatoaratsor	redline	redlinen
entrise	entriseis	activates	activestove
delight	delight	coequal	coequal
matched	matcched	adviceres	advics
weavincg	weavinig	watcchin	watcching
shallows	shallow	wathcchi	watcchin
outcom	outcom	minorered	minorde
intsight	inssight	airmali	aimrail
regular	regular	activestatus	active
pleassed	pleassed	offhaand	ogffhaind
devices	devicestat	plugins	plugins
workeers	woargekers	moveset	moves
modules	modulpels	convoke	convoke
percet	percent	plugins	plugins
deitiest	deitietie	roadmap	roadmap
loggin	loggigng	distans	disctaans
amended	amendend	manatatustus	manatas
uslees	usnelsels	dieting	dieting
reviews	reviews	defaamed	defaimed
leather	leatherth	unifire	unifire
pending	penguindancing	cofnfsua	confrustar
weelcomecom	welcosem	retilte	rweititl
neithare	neithergeor	legrdopl	legdropa
certain	certain	gooders	gooders
image	imagine	encant	enchahnat
teachriot	teacchar	relight	reliighit
curios	curiois	devilled	devilved
meeting	meetings	sightsandsounds	signal
winning	winging	trylien	trylimen
prevent	predictive	trylikesin	trylien
litenraal	litera	harangued	handout
handles	handles	carlin	carliniein
compsas	compass	monist	monistisst
foormats	formats	advices	advicesc
turning	turning	spaner	spannearet
offence	ofenccencoe	sandding	sanding
vistited	visted	carding	cardimng
quails	quails	figureal	fmiugral
emotiioon	emotiovtimeon	repemptsnst	repeats
