gpt-3.5-turbo_acronym1c_highprob	gpt-3.5-turbo_acronym1c_random	gpt-3.5-turbo_acronym2c_highprob	gpt-3.5-turbo_acronym2c_random
amasisng	wtesnnaat	atblsuadua	rpsrgnf
milliabars	invcerienirion	mpslhra	eatscars
hurry	htlapq	hinr	aivl
lianisown	saonirh	lwmpac	phtoiaaa
newutohronsc	icaiatnap	ntrgnsoy	pstaudeiiicm
revokem	pweirop	rlocsrf	esebiav
creatitviti	acohehloecr	cotrbskolss	mptsafdgiua
ambusths	eilmhv	aerbis	pctkis
unahapapy	oedsttt	htrmao	skmctsa
defense	sbepeent	dpexas	prlwagau
secure	liralie	ssejcs	ytsiscd
disorderly	iingrooeooenunu	vanwipcp	eapbolcpir
propprivetorseor	nnlgttbssebas	pblstdb	ifodsnuara
loan	opnaa	ldrg	nptm
reveal	ihtiltr	rscarj	coscdl
voltage	rysddvidc	vsnrcei	uettstt
posticted	eaeensi	potmsp	oyrch
aideed	tide	aeni	euoy
attendance	iestisincsil	tsgdiastip	rntgiaioec
vanishes	raisgsla	vslatgai	rpnwatps
hcoly	neer	hot	oats
eithert	ebirsl	eirktsdb	yohg
neutrals	jyoterefu	nembsemc	gkotn
interterecatracstaitracstiotns	yerapunclnni	itedlsaacpea	eiluasstgipr
attention	eecdcecsat	ysgdseosred	aegn
allgeldely	uuaramerao	aenragbacsy	hmtafdsm
degrereese	soreduerdue	vpsgdted	aftsrrfii
iconoyograapha	areiaanjenec	ieuanapm	uoerptacen
stratit	nbdaene	srtgkdt	virus
coasstlientlene	intieemyto	holygrails	bacpecolea
twilight	isofageeid	tboyglat	hotstars
dilapmidathe	sisrrsosop	drebunirsah	tntaensdsaesdv
budgerytaer	ylitestelg	bloatedcabbage	sprdcs
securer	talntr	sctdb	aabaece
banishes	nreaines	bnghiecbei	vyhaeabp
synonymosymnomy	eeiriprouth	sctifibatia	taclibmabup
mintsetern	aptiaftldt	mfeesvpg	egrsevc
adaptatitaoon	aiemptuhcotof	ajsyuulca	ndcfaasmbac
crossing	timsepa	rergveasdii	rngvyroras
corporal	tneytidyb	croapcf	ehtsbeis
histrtovianst	igbvcsseep	hpestndwuo	ydasph
royalty	songansl	oolyfst	nleaedae
slightethghtes	tpaoahmviroadways	sndacsrsess	dctmomoet
hasitily	onsryil	hptssbes	oirgts
recnohnced	acdrnemswr	rgtncsoiscpa	iavdisababasf
stub	danen	stso	scags
petriled	cberyor	ponts	nrtnosl
spat	cyho	sopvs	nlyh
attends	peirpspps	aiseria	nolitestb
assisitacne	nskceerlieli	aogysdoemie	urvftsarshw
paaramorartmaoral	ntdgjraimc	pacwucpeb	iotfatslhps
cansc	eaiig	rati	towers
shipwrecked	mrsdtnwanewanooe	schwasgrissbid	oedybpswasapna
cloness	aeucsy	clodri	octawsp
rope	otna	tensr	rnsncs
prapipertorietritr	mgfuemrrwuti	pctn	lrttenkai
urgee	deht	uobd	tceit
hospistal	efretaetn	hotmeltsmg	hpsaabauyy
shop	edancm	trogcsaa	omtie
stylyle	rcfaurea	tssset	gctwco
converticnots	ialljpmmngcnus	croiledha	sdeipto
subjectcetivet	oaptoeteli	sboer	isparrvma
governers	rculpsaeel	gsharainiti	eisncs
campuss	srents	cftsap	gatadtc
triangle	tanollocshth	tacwiaabra	rerltsnaaeyi
vessley	sbitemo	vonstb	criagss
vietwpcoineth	eltoetersr	vdsvssve	agljdept
restpoonsiev	snrtmosptas	reraeacoal	lnsvroec
adorablt	eghtoago	aedceocv	ftnqo
pitcheches	istelt	pmtwre	ybmade
swimstyles	tdmcae	yhesm	eisl
whteeld	ioaradrv	wctyfad	rscmnhi
shadirng	rlnnyeb	stwadae	wjnodt
idea	nget	iagb	fj
remarqkanakaly	itiyokyrnta	rvltsagams	rpoecsrsetr
abbandoned	eessmminim	aftieciacte	nthsacoaiasj
batone	lanco	bzsba	vucah
plaintif	rdsaehstvncc	pglisraa	rtejsmfsfai
hareareasrolledvertexexposedscanttrip	nnasdlte	hntpoetas	afts
solar	rarsr	spoon	ilctpr
cinematicematictic	topslstet	cvrerecss	njdpoealb
projecetions	iaeewcdkasri	pacfrasgci	smtttrsybaa
bcegins	rrtd	bpli	aisy
popfalatled	aoaaidctaoe	potatoes	rasilrrss
singger	sitcch	stlaeat	iacupt
restide	cardspk	rifar	dftn
parnking	escdate	pacsvaa	iyrjctdra
trainsctripoins	aoooaymaimzapricpr	rwtuaeamseamsttdua	ilostarepresents
iteratonia	hlvarprpsi	htrsnbuc	eiaalvsg
infsetirting	hooegrsi	isfspnea	pboasapgts
incatete	crrdftr	ifnotes	tcsbss
cannede	fiougdm	cjnlo	nlymrcia
famous	neuvlem	freds	tgbtis
molr	ptli	yrnt	aedmssn
stickey	atensksc	stsskdf	dagsl
supeerior	iurasglaeirsi	sstrtfrph	aftvydwdnpil
packaege	titrlsn	possbargr	nvrgsscc
inspinratinratitonsm	saiddrdisjstahas	ilasfgmamcua	rstdewsdoof
disappoinment	ponolealasatp	dpiatuadisiis	mislshbmaoacmeab
pictogripail	ghrsasiooms	pttssppbfd	nbdgkrr
