gpt-3.5-turbo_acronym1_highprob	gpt-3.5-turbo_acronym1_random	gpt-3.5-turbo_acronym2_highprob	gpt-3.5-turbo_acronym2_random	gpt-4_acronym1_highprob	gpt-4_acronym1_random	gpt-4_acronym2_highprob	gpt-4_acronym2_random
amasingsign	wtestnata	atssdnt	rrisoninliris	amassing	wtesnnat	amassing	tpiuriai
milliabars	invcerin	meeiieeey	ettpnnolaa	millibars	invincerin	mieaibaes	ettalenol
hurry	hflaq	hieo	aivies	hurry	htlaq	hueoy	aidie
liainson	saonirh	lidspsqunim	phtnol	liaison	saonirh	liaisony	pslorss
newtronrso	icaiitnap	netsoundingervenedpsyche	prttandeitrt	neutrons	icatnap	neutrons	pttnmtoa
revoked	pweirop	repase	estibje	revoke	pweiop	reveae	essaue
createvitiy	aochehloecr	cooatroif	mmpnntnltfrcodgvnnsnlegrc	creativity	aoehloecr	creaaiviti	meoteivnce
ambush	eilmhv	ambisu	pgrnlt	ambush	eilmhv	amiush	pgcnda
unhapay	oedsttt	htrnnt	sknecr	unhappy	oedstttt	unhappy	snearad
defense	sbepeent	dtrnse	prowargnrmn	defense	sbepent	defense	peopoar
secure	lirael	selecsjucrbsctn	yptnoe	secure	lirale	secuae	ytstoe
disorderly	iigrooenounu	dvnosrdeek	eomnrs	disorderly	iigroeunu	dipoieeee	eoeaieiea
proprietors	nnlgtbsebsa	proeiiiiootisoo	ieoocblyk	proprietors	nnlgtbsebsa	propeaeiori	iipoyatiei
loan	opna	leresed	nato	loan	opna	lozn	naoo
reveal	ihiltr	riesedoin	colifiedocuos	reveal	ihiltr	rioaae	ccuaou
voltage	ryddbidc	verpitrea	ultstteds	voltaged	ryddvic	votregue	utteoups
posticted	eaeensi	posmtej	olling	postited	eaensi	posiaej	onrsapi
aideed	tide	aiied	eioidlt	aided	tided	aided	edoie
attendance	iestisincsil	attendingternallyadditiventriguingchemeserformances	rnoiiglntf	attendance	iessincsil	attenaaihe	ensandtvs
vanishes	raisgsla	vemnlttsgsai	riundoasselee	vanishes	raissgla	vavishes	runaseea
hcoly	neer	hote	mnir	holy	neer	holy	csio
eithert	ebirsl	eotrerr	yoolg	eithher	ebirsl	eireea	yrouau
neutral	jyoterefu	netbtwsemc	gegoses	neutral	jyoteru	netueass	gpgooes
intertactiarcatinss	yearbookextractsreligiouslyaminostereotypeparapetunarmedconceptionlogisticsnominationsneckinhibited	ieeieaeei	iignsalyeiasptgines	interactions	yeraspuclnni	iiceaaaisess	uireseayeais
attention	eecdecsat	aytmttioeefg	aetnngs	attempted	eecdecsut	aytteoitu	aeopaouoi
allergy	uurameramoea	aoueoue	haoeieeioi	alledgedly	uuramerao	auaeoeqlm	haecioara
degreres	soreduaerdue	degess	atsies	degrees	soerdue	deraess	atsiels
iconography	areianjencc	ieaoncnpmt	uorptehshtshtngh	iconography	areianjenncf	iccaoeeapy	uulteissnii
start	nbdaene	strnki	iionoeo	strait	nbdaen	strait	ineooi
coastaltelinem	intimehmyto	cholrsoaetn	bmbtntfsoe	coastline	intiemyto	conaraina	bmfaraels
twilightrh	isoaeid	towhovgat	hrrtnt	twilight	isoaeeid	twilight	hpcatruo
dilapmidathe	sisrrsosopos	drrslebunorv	aoeennipiuhe	dilapidated	sisrrsoopos	dilagedava	toraneaisee
budgeryatear	ylitestelgu	bohnttse	spriinrcte	budgetary	yliteslgu	budemtary	sisecaieo
secure	talntrn	sgnldt	anrspss	secuer	talntn	seiuae	anispa
banished	nreaines	bunndnfhltbkae	eptscsaaabs	banished	nreaiesn	baniseao	evasaaaco
synonymownymoswst	eeirirouth	scltrlyncnufrbsnspabmngstqeaupd	tdeiiironoblndnletin	synonymous	eeirirouht	synoyaouu	tdainirrnr
mindnistetr	aptialdtl	mzngnainmtrrtp	eeasscrrura	minister	aptiatld	miaisero	ecisiuua
adaptation	aieptuhcot	ajaptrtiteont	ndcslntnghmrrooii	adaptation	aiepcthcto	adaptlitoa	nsaltnore
crossing	timsepa	crrgnaeie	rdvqnlss	crossing	timsepia	crnssing	rdepnoes
corporal	tneytiydb	cconsrso	ensocbsmlatd	corporal	tnytidyb	ccccoral	eaoceala
histronsaitarnste	igbvcssepep	hiepntdwsn	yolnlsdmsnshh	historians	igbvcsesep	histoisand	yoepumisat
royalty	songans	rooiaeoy	ndttns	royalty	songans	roriaea	deacaia
slightest	tpaoahmviir	sleitn	drrnsmnntmptmlyrshknoe	slights	tpoahmvr	sssieuesa	dlropsmuc
hastily	onsryil	hrtmssbndlvtrsm	oosrto	hastily	onsryil	hasily	oiaheto
reconunanced	acdrnewrsw	roctoosnsohldvrti	iivouitjo	renounced	acdrneswr	renouscea	iloruepij
stubb	danen	stso	scrt	stub	dnen	ssse	sdac
petrel	cbeyro	poooe	nroaet	petrel	cbeyor	peurea	nouaie
spat	cyho	spai	nioee	spat	cyho	spai	nroo
attends	peirpspps	aiaesplte	ndnntnlt	attends	peirpsp	atienve	doentioo
assistance	nskcelriliel	aohyisntrc	ureeefrnrn	assistance	nskcelrilel	ascisratce	ualeaiseva
paranoratormal	ntdgjragmc	paeaeodn	ioouwewenwee	paranormal	ntdgjragmc	pauaonreee	ioruaeiyea
cansc	eaiig	rads	tort	cans	eaii	cads	tooe
shipwrecked	mrsdtnwaeno	smhroaet	oerlnei	shipwrecked	mrsdtnwaone	shipeaeoiui	conyaenseos
clones	aeducsy	caones	oeonno	clones	aeucsy	clotes	ooaneo
rope	otna	reoi	riies	rope	otna	rope	rime
proprietorpietr	mfguerrruwuti	prisetesom	lesorngnbkcnetignda	proprietor	mfuerruuti	prileisaor	leransctri
urgee	defht	uret	tchh	urge	deht	urge	tcoi
hostail	efreatant	hotenitaptaturaturela	hieeaeu	hospital	efreatnt	hoceiaaul	hubsdpne
